trial,startSys,startPupil,cohOnSys,cohOnAdj,cohOffAdj,singDotOnAdj,singDotOffAdj,response
1,2091044.03,133.353516,2091044.86,0,0.110303216,0.128195867,0.811059437,NaN
2,2091049.8,139.113342,2091050.55,0,0.216545287,0.233069902,0.916922617,NaN
3,2091055.47,144.773666,2091056.17,0,0.116064716,0.132657838,0.816801407,NaN
4,2091060.98,150.289505,2091061.69,0,0.11645743,0.133200786,0.817433895,NaN
5,2091066.5,155.801468,2091067.18,0,0.116375402,0.133064373,0.816927604,1.05039443
6,2091069.23,158.54541,2091069.93,0,0.216013456,0.232324437,0.916409415,1.03289148
7,2091071.97,161.265335,2091072.66,0,0.416456288,0.433138649,1.11704274,1.25078618
8,2091074.92,164.217667,2091075.62,0,0.114230351,0.130912712,0.814814704,0.914925096
9,2091077.55,166.857635,2091078.25,0,0.416511574,0.433211062,1.11751809,1.3004745
10,2091080.56,169.87352,2091081.24,0,0.115690031,0.132564092,0.816534891,0.91620179
11,2091083.17,172.4897,2091083.89,0,0.113586445,0.13018197,0.814045802,0.830610981
12,2091085.73,175.03746,2091086.41,0,0.216109606,0.233009507,0.917075555,1.03336893
13,2091088.45,177.749603,2091089.11,0,0.213633438,0.230230165,0.914143875,0.997301785
14,2091091.12,180.429611,2091091.81,0,0.416641377,0.433175607,1.11717525,1.25069724
15,2091094.07,183.381332,2091094.77,0,0.216566019,0.23316485,0.91721287,1.08387543
16,2091096.86,186.165329,2091097.55,0,0.116192416,0.132865162,0.816908975,0.933410874
17,2091099.5,188.805664,2091100.19,0,0.216875803,0.233399216,0.917374522,1.06710413
18,2091102.26,191.557281,2091102.92,0,0.216563315,0.233375479,0.917443631,1.01712676
19,2091104.95,194.273331,2091105.64,0,0.214385813,0.230952193,0.9149275,1.01443245
20,2091107.67,196.985596,2091108.43,0,0.216390846,0.23301131,0.917188231,1.06689771
21,2091110.51,199.833496,2091111.26,0,0.416690053,0.433098086,1.11685435,1.35025657
22,2091113.62,202.917313,2091114.3,0,0.115662087,0.131968862,0.816000356,0.915804269
23,2091116.23,205.533325,2091116.94,0,0.416699067,0.432957767,1.11683692,1.28351541
24,2091119.23,208.549286,2091119.92,0,0.216313926,0.232995686,0.916915405,1.13364428
25,2091122.06,211.365356,2091122.74,0,0.116427683,0.133123565,0.817238891,1.03368292
26,2091124.79,214.109573,2091125.49,0,0.213418302,0.230039968,0.914070561,1.13081957
27,2091127.64,216.957611,2091128.36,0,0.216536874,0.233218634,0.917110109,1.20060659
28,2091130.58,219.869614,2091131.26,0,0.11661728,0.133191472,0.81720644,1.00047294
29,2091133.28,222.589371,2091133.98,0,0.216016461,0.232589451,0.916443067,1.04978087
30,2091136.04,225.357376,2091136.74,0,0.215873437,0.232650747,0.916679537,1.03316731
31,2091138.78,228.085373,2091139.45,0,0.41657287,0.433211363,1.11699827,1.31722867
32,2091141.78,231.10173,2091142.49,0,0.216002038,0.232782052,0.916744438,1.08332978
33,2091144.59,233.917313,2091145.31,0,0.216343672,0.233238165,0.91689317,1.16692006
34,2091147.48,236.797333,2091148.21,0,0.216072348,0.232615292,0.916537415,1.01640683
35,2091150.23,239.541626,2091150.93,0,0.116450819,0.133393688,0.816952844,1.06725767
36,2091153.02,242.325302,2091153.72,0,0.216327747,0.232903141,0.916660607,1.13326719
37,2091155.86,245.173645,2091156.57,0,0.116492585,0.13332488,0.817198327,1.10044722
38,2091158.68,247.989334,2091159.39,0,0.416599612,0.433358893,1.11726149,1.28401088
39,2091161.69,251.001343,2091162.44,0,0.116748284,0.133072486,0.81685429,0.966893681
40,2091164.42,253.721313,2091165.12,0,0.416415725,0.433098086,1.11711546,1.33377943
41,2091167.48,256.785583,2091168.15,0,0.414669096,0.431023946,1.11491272,1.31502533
42,2091170.47,259.781311,2091171.16,0,0.415030861,0.431344246,1.11523302,1.4156348
43,2091173.59,262.901306,2091174.3,0,0.416085809,0.432788302,1.11686216,1.41685802
44,2091176.73,266.049744,2091177.49,0,0.116008228,0.132666552,0.816460074,0.966486245
45,2091179.47,268.761353,2091180.17,0,0.416590898,0.433175907,1.11733931,1.35044557
46,2091182.53,271.849365,2091183.31,0,0.115323759,0.132015735,0.81625275,1.03286384
47,2091185.36,274.665588,2091186.06,0,0.216326545,0.23312008,0.91732164,1.21705639
48,2091188.29,277.613312,2091189.04,0,0.216014358,0.232793169,0.916627255,1.13331436
49,2091191.19,280.493622,2091191.86,0,0.116412359,0.133180955,0.816794797,1.16704205
50,2091194.04,283.341644,2091194.73,0,0.416727612,0.433285879,1.11744718,1.31735217
51,2091197.06,286.357513,2091197.75,0,0.116135928,0.132722439,0.816690834,0.966632874
52,2091199.73,289.037476,2091200.42,0,0.216526658,0.233065996,0.917036494,1.20051404
53,2091202.64,291.957275,2091203.34,0,0.116571007,0.132864561,0.816791792,1.01684822
54,2091205.37,294.669342,2091206.06,0,0.416021208,0.43262034,1.11686577,1.4166528
55,2091208.48,297.785278,2091209.16,0,0.415609565,0.432269391,1.11602806,1.46615693
56,2091211.64,300.933411,2091212.31,0,0.216168198,0.233081019,0.916808438,1.08337755
57,2091214.4,303.71225,2091215.07,0,0.416539218,0.433261241,1.11723444,1.15046395
58,2091217.23,306.533295,2091217.94,0,0.216459353,0.233449695,0.917108307,1.06736073
59,2091220.01,309.30954,2091220.69,0,0.116558688,0.133340805,0.81699551,0.967133756
60,2091222.67,311.969666,2091223.37,0,0.216384236,0.233107761,0.917248926,1.18392693
61,2091225.56,314.873505,2091226.29,0,0.116065017,0.132750683,0.816612111,1.10023419
62,2091228.41,317.725281,2091229.11,0,0.113255328,0.129777839,0.814060826,1.03029182
63,2091231.15,320.473267,2091231.9,0,0.416593001,0.433252827,1.11715662,1.36726284
64,2091234.29,323.589294,2091235,0,0.216845456,0.233360756,0.916993527,1.11730686
65,2091237.12,326.437286,2091237.82,0,0.116129017,0.132581218,0.81664336,1.06672584
66,2091239.91,329.221283,2091240.6,0,0.116723345,0.133123566,0.817024356,1.03376044
67,2091242.65,331.965485,2091243.36,0,0.216492104,0.233271216,0.917241415,1.00046392
68,2091245.39,334.677551,2091246.08,0,0.417095687,0.433624809,1.11766802,1.38418167
69,2091248.47,337.765289,2091249.14,0,0.216417588,0.233071104,0.917356194,1.0502478
70,2091251.2,340.509552,2091251.9,0,0.216357794,0.233044663,0.917332457,1.1003715
71,2091254.01,343.325592,2091254.72,0,0.216472273,0.233208719,0.916949358,1.16714962
72,2091256.89,346.209229,2091257.65,0,0.416699368,0.433357391,1.11732609,1.33398375
73,2091260,349.305573,2091260.69,0,0.416635368,0.432986912,1.11703583,1.43372456
74,2091263.14,352.437531,2091263.84,0,0.11636188,0.133064974,0.816979585,1.11701901
75,2091265.98,355.285553,2091266.68,0,0.113498107,0.130037745,0.814269051,1.14748781
76,2091268.84,358.133606,2091269.54,0,0.416591199,0.433290386,1.11743215,1.26719692
77,2091271.83,361.133667,2091272.51,0,0.116282557,0.132895209,0.816706459,1.16688521
78,2091274.68,364.001587,2091275.43,0,0.216419991,0.233079817,0.916952062,1.28388799
79,2091277.73,367.049561,2091278.45,0,0.416431649,0.433392245,1.11702892,1.35033379
80,2091280.81,370.12561,2091281.49,0,0.215741832,0.232253527,0.916158823,1.23312669
81,2091283.73,373.053284,2091284.42,0,0.115792792,0.132417463,0.816402985,1.01642696
82,2091286.45,375.76532,2091287.14,0,0.116108284,0.132977838,0.8169889,0.949884409
83,2091289.11,378.409637,2091289.81,0,0.416649189,0.433242011,1.11716293,1.28385494
84,2091292.11,381.429291,2091292.81,0,0.416483931,0.433295194,1.11698896,1.40048484
85,2091295.23,384.545288,2091295.93,0,0.415313903,0.432186462,1.11590607,1.28256562
86,2091298.23,387.529297,2091298.92,0,0.116632002,0.133216711,0.816832055,0.933566818
87,2091300.86,390.169647,2091301.6,0,0.116340547,0.132989256,0.816878327,1.08398841
88,2091303.7,393.025269,2091304.44,0,0.216518245,0.233195798,0.917465565,1.16769858
89,2091306.62,395.937256,2091307.33,0,0.216509231,0.233204813,0.917235105,1.36746085
90,2091309.7,399.02124,2091310.4,0,0.116596247,0.133354026,0.817241595,0.866960566
91,2091312.29,401.601257,2091313,0,0.116325524,0.1331455,0.817311003,0.984072719
92,2091315,404.313538,2091315.73,0,0.416634166,0.433254029,1.11730806,1.23391031
93,2091317.98,-1,2091318.75,0,0.214274039,0.231216006,0.914884533,1.09836677
94,2091320.87,410.177521,2091321.55,0,0.116095364,0.132724542,0.81702075,0.966548742
95,2091323.53,412.825714,2091324.21,0,0.415641415,0.432346912,1.11637871,1.39955008
96,2091326.62,415.941589,2091327.38,0,0.216388442,0.233080418,0.916979105,1.28406016
97,2091329.67,418.989532,2091330.35,0,0.21643802,0.233136306,0.917120626,1.03381513
98,2091332.4,421.709259,2091333.08,0,0.116011834,0.132783134,0.816807116,1.26692199
99,2091335.36,424.653381,2091336.02,0,0.116077035,0.132871772,0.817081745,1.26687872
100,2091338.29,427.601318,2091339,0,0.116223965,0.133325181,0.816788187,1.25074622
101,2091341.26,430.58551,2091341.97,0,0.216719559,0.233265207,0.917116419,1.2172559
102,2091344.2,433.505249,2091344.89,0,0.416663912,0.433447832,1.11724887,1.46722029
103,2091347.37,436.685333,2091348.08,0,0.216071146,0.232775742,0.916471011,1.03310662
104,2091350.12,439.437256,2091350.81,0,0.116647927,0.133096523,0.816935717,0.983620812
105,2091352.81,442.117218,2091353.5,0,0.116363083,0.133313763,0.817413764,1.00041585
106,2091355.51,444.829346,2091356.22,0,0.216326545,0.232954822,0.916852006,1.2002298
107,2091358.44,447.741516,2091359.15,0,0.416582485,0.433247118,1.11727561,1.31718451
108,2091361.48,450.79776,2091362.19,0,0.416610429,0.433289485,1.1172041,1.33389301
109,2091364.53,453.841614,2091365.24,0,0.416185865,0.432964978,1.11671493,1.25013236
110,2091367.5,456.793243,2091368.18,0,0.416392589,0.4331071,1.11697965,1.31712291
111,2091370.5,459.805481,2091371.18,0,0.416570767,0.433309316,1.1168847,1.30051326
112,2091373.5,462.797546,2091374.22,0,0.416803631,0.433388039,1.117141,1.28364912
113,2091376.51,465.829559,2091377.22,0,0.415729453,0.432313861,1.11636969,1.38284969
114,2091379.61,468.921539,2091380.35,0,0.416569265,0.433355588,1.11717074,1.38397014
115,2091382.76,472.069489,2091383.44,0,0.416291631,0.433236903,1.11721371,1.15019564
116,2091385.61,474.917542,2091386.34,0,0.41672641,0.433473672,1.11728102,1.23396079
117,2091388.59,477.901489,2091389.29,0,0.416075293,0.43276757,1.11677623,1.51680495
118,2091391.82,481.121246,2091392.51,0,0.416721302,0.433505222,1.11734622,1.5843685
119,2091395.11,484.405243,2091395.78,0,0.215917907,0.23270363,0.916482729,0.923975234
120,2091397.72,487.02124,2091398.42,0,0.116234181,0.132961312,0.816637351,1.05013302
