Coh,Pro Correct,Pro Total,Anti Correct,Anti Total,Total Correct,Total,
0.33,40,60,41,60,81,120,
0.63,42,60,36,60,78,120,
0,38,60,27,60,65,120,
,,,,,,,
Trial #,Coh,Dots Dir,Ap Vel,Response,Correct,Frames,Response Time (sec)
1,0.33,180,-10,180,1,66,1.1011
2,0.33,180,10,0,0,67,1.1178
3,0.63,0,-10,180,0,72,1.2012
4,0,0,-10,180,0,70,1.1679
5,0.33,0,-10,180,0,69,1.1512
6,0.63,180,-10,0,0,70,1.1679
7,0.33,0,10,0,1,56,0.93428
8,0.33,0,10,0,1,72,1.2012
9,0.63,0,-10,0,1,73,1.2179
10,0,0,-10,0,1,72,1.2012
11,0.33,0,10,0,1,59,0.98433
12,0.33,0,10,0,1,48,0.80081
13,0.63,0,-10,0,1,69,1.1512
14,0.33,180,10,180,1,76,1.268
15,0.33,0,-10,0,1,71,1.1845
16,0.63,0,-10,0,1,65,1.0844
17,0,0,-10,0,1,73,1.2179
18,0.33,0,-10,0,1,66,1.1011
19,0.33,0,10,0,1,60,1.001
20,0,0,10,0,1,60,1.001
21,0.63,180,10,0,0,62,1.0344
22,0.63,180,10,0,0,68,1.1345
23,0.33,0,10,0,1,65,1.0844
24,0,180,-10,0,0,70,1.1679
25,0.63,180,10,0,0,72,1.2012
26,0,0,10,0,1,66,1.1011
27,0.63,0,10,0,1,73,1.2179
28,0,180,10,0,0,69,1.1512
29,0.33,0,10,0,1,67,1.1178
30,0.63,0,10,0,1,73,1.2179
31,0,180,-10,180,1,59,0.98433
32,0.33,180,-10,180,1,64,1.0677
33,0.63,0,10,0,1,73,1.2179
34,0.33,180,-10,0,0,71,1.1845
35,0.33,180,10,180,1,76,1.268
36,0.63,180,10,180,1,87,1.4515
37,0.33,180,-10,0,0,71,1.1845
38,0,0,10,0,1,67,1.1178
39,0.63,0,-10,0,1,71,1.1845
40,0.63,0,-10,0,1,56,0.93428
41,0.33,180,-10,0,0,64,1.0677
42,0.33,0,-10,0,1,67,1.1178
43,0.63,0,-10,0,1,67,1.1178
44,0,0,-10,180,0,63,1.0511
45,0,180,-10,0,0,70,1.1679
46,0,180,-10,0,0,71,1.1845
47,0.33,180,10,180,1,68,1.1345
48,0,0,10,180,0,68,1.1345
49,0,180,10,180,1,70,1.1679
50,0,0,-10,0,1,70,1.1679
51,0.63,180,10,0,0,69,1.1512
52,0,180,-10,0,0,71,1.1845
53,0.63,0,-10,0,1,87,1.4515
54,0.63,0,10,0,1,79,1.318
55,0,0,10,0,1,69,1.1512
56,0.33,0,10,0,1,67,1.1178
57,0.33,0,-10,0,1,60,1.001
58,0,180,10,0,0,68,1.1345
59,0,180,10,0,0,73,1.2179
60,0.33,0,10,0,1,74,1.2346
61,0.33,180,-10,180,1,60,1.001
62,0.33,0,-10,180,0,75,1.2513
63,0,180,-10,0,0,70,1.1679
64,0.63,180,10,0,0,77,1.2846
65,0.63,180,-10,180,1,87,1.4515
66,0,0,10,0,1,69,1.1512
67,0.33,0,-10,0,1,77,1.2846
68,0,180,-10,0,0,75,1.2513
69,0.63,180,10,180,1,96,1.6016
70,0.63,0,-10,180,0,78,1.3013
71,0.33,0,-10,0,1,80,1.3347
72,0.63,180,10,180,1,78,1.3013
73,0,0,10,0,1,66,1.1011
74,0,180,-10,0,0,69,1.1512
75,0.33,0,10,180,0,67,1.1178
76,0.33,0,-10,180,0,64,1.0677
77,0,0,-10,0,1,72,1.2012
78,0.33,180,10,180,1,79,1.318
79,0,180,-10,0,0,80,1.3347
80,0.63,0,10,0,1,70,1.1679
81,0.33,0,10,0,1,66,1.1011
82,0,0,-10,180,0,65,1.0844
83,0.63,180,-10,180,1,62,1.0344
84,0.33,0,-10,180,0,66,1.1011
85,0.33,180,10,0,0,69,1.1512
86,0.33,0,-10,0,1,68,1.1345
87,0.63,0,-10,180,0,79,1.318
88,0.33,0,10,0,1,65,1.0844
89,0,180,-10,180,1,63,1.0511
90,0,180,-10,180,1,59,0.98433
91,0,0,10,0,1,63,1.0511
92,0,180,10,0,0,48,0.80081
93,0.33,180,-10,180,1,45,0.75076
94,0.33,0,10,0,1,60,1.001
95,0,0,-10,180,0,50,0.83418
96,0.33,0,-10,180,0,56,0.93428
97,0,0,-10,180,0,54,0.90091
98,0.63,180,-10,180,1,60,1.001
99,0,0,-10,180,0,60,1.001
100,0,180,-10,180,1,64,1.0677
101,0,0,10,0,1,53,0.88423
102,0,0,-10,180,0,65,1.0844
103,0,180,-10,180,1,56,0.93428
104,0.63,0,-10,180,0,56,0.93428
105,0.33,180,10,0,0,66,1.1011
106,0.33,180,-10,0,0,49,0.8175
107,0,180,-10,180,1,42,0.70071
108,0.33,180,-10,180,1,58,0.96765
109,0,180,10,0,0,50,0.83418
110,0.63,0,10,180,0,67,1.1178
111,0.33,180,10,180,1,62,1.0344
112,0.33,180,-10,0,0,59,0.98433
113,0.33,180,10,0,0,53,0.88423
114,0,0,10,0,1,50,0.83418
115,0.63,180,10,0,0,76,1.268
116,0,0,-10,0,1,59,0.98433
117,0,0,10,180,0,76,1.268
118,0.33,180,10,180,1,71,1.1845
119,0.63,180,-10,0,0,60,1.001
120,0.63,0,-10,0,1,71,1.1845
121,0.63,0,10,0,1,65,1.0844
122,0.33,180,-10,180,1,55,0.9176
123,0.63,0,-10,0,1,53,0.88423
124,0,180,-10,0,0,77,1.2846
125,0.33,180,-10,180,1,68,1.1345
126,0,0,10,0,1,63,1.0511
127,0.63,0,-10,0,1,81,1.3514
128,0.33,180,-10,0,0,67,1.1178
129,0.63,180,10,0,0,59,0.98433
130,0.63,0,-10,0,1,57,0.95096
131,0.63,0,-10,0,1,80,1.3347
132,0.33,180,-10,0,0,70,1.1679
133,0.33,0,10,180,0,53,0.88423
134,0.63,0,-10,0,1,42,0.70071
135,0.33,0,10,0,1,60,1.001
136,0.33,0,-10,180,0,88,1.4682
137,0.33,180,-10,0,0,47,0.78413
138,0.33,180,10,180,1,52,0.86755
139,0,0,-10,180,0,65,1.0844
140,0.33,0,10,180,0,45,0.75076
141,0.63,180,10,180,1,80,1.3347
142,0,180,-10,180,1,64,1.0677
143,0.63,180,-10,180,1,79,1.318
144,0.33,0,10,0,1,65,1.0844
145,0.63,0,10,0,1,64,1.0677
146,0,180,10,0,0,64,1.0677
147,0.33,0,-10,0,1,69,1.1512
148,0.63,0,10,0,1,67,1.1178
149,0.33,180,-10,180,1,78,1.3013
150,0.63,180,-10,180,1,68,1.1345
151,0.33,180,-10,0,0,59,0.98433
152,0.33,0,-10,180,0,57,0.95096
153,0.33,0,-10,0,1,65,1.0844
154,0,0,-10,0,1,58,0.96765
155,0.33,0,-10,0,1,72,1.2012
156,0.63,0,10,0,1,62,1.0344
157,0.63,180,-10,180,1,72,1.2012
158,0.63,0,-10,0,1,70,1.1679
159,0,0,10,0,1,71,1.1845
160,0,180,10,0,0,64,1.0677
161,0.33,0,-10,0,1,60,1.001
162,0.63,0,10,0,1,71,1.1845
163,0,180,10,0,0,48,0.80081
164,0,0,10,180,0,74,1.2346
165,0.63,180,-10,180,1,75,1.2513
166,0,0,-10,0,1,63,1.0511
167,0.33,0,10,0,1,63,1.0511
168,0.63,0,10,0,1,68,1.1345
169,0.33,0,-10,180,0,85,1.4181
170,0.63,180,-10,180,1,80,1.3347
171,0,0,-10,0,1,68,1.1345
172,0,180,10,180,1,82,1.3681
173,0.63,180,10,180,1,75,1.2513
174,0,180,10,0,0,77,1.2846
175,0,180,-10,180,1,61,1.0177
176,0,180,10,180,1,74,1.2346
177,0,0,-10,0,1,57,0.95096
178,0.33,180,-10,180,1,78,1.3013
179,0.63,180,-10,180,1,72,1.2012
180,0.63,180,10,180,1,60,1.001
181,0.33,0,-10,0,1,76,1.268
182,0.33,180,10,180,1,66,1.1011
183,0,0,-10,180,0,59,0.98433
184,0,0,-10,0,1,87,1.4515
185,0,0,-10,0,1,64,1.0677
186,0,0,10,180,0,62,1.0344
187,0.33,180,10,180,1,67,1.1178
188,0.63,180,-10,180,1,67,1.1178
189,0.33,0,-10,0,1,73,1.2179
190,0.63,180,10,180,1,68,1.1345
191,0,0,-10,0,1,66,1.1011
192,0,180,10,180,1,73,1.2179
193,0.33,180,-10,0,0,72,1.2012
194,0,0,10,180,0,63,1.0511
195,0.33,180,10,0,0,82,1.3681
196,0,180,10,0,0,69,1.1512
197,0.63,180,-10,0,0,69,1.1512
198,0.63,0,10,180,0,75,1.2513
199,0,0,10,180,0,76,1.268
200,0.33,180,10,180,1,73,1.2179
201,0,180,-10,0,0,72,1.2012
202,0,180,-10,180,1,82,1.3681
203,0.63,180,-10,0,0,73,1.2179
204,0.33,0,-10,180,0,49,0.8175
205,0,180,10,0,0,28,0.46714
206,0.63,180,-10,180,1,57,0.95096
207,0.63,0,10,180,0,74,1.2346
208,0,0,-10,180,0,59,0.98433
209,0.63,180,10,0,0,63,1.0511
210,0,180,10,180,1,70,1.1679
211,0.33,180,10,180,1,68,1.1345
212,0.33,0,10,0,1,65,1.0844
213,0,180,-10,180,1,63,1.0511
214,0.63,180,10,0,0,66,1.1011
215,0.33,180,10,0,0,77,1.2846
216,0.63,180,10,180,1,58,0.96765
217,0.63,180,10,180,1,82,1.3681
218,0.63,180,-10,0,0,63,1.0511
219,0,180,-10,180,1,77,1.2846
220,0.33,180,-10,0,0,74,1.2346
221,0.63,0,-10,180,0,78,1.3013
222,0.63,0,-10,0,1,53,0.88423
223,0.63,180,-10,180,1,67,1.1178
224,0.63,0,-10,180,0,80,1.3347
225,0.63,0,-10,180,0,74,1.2346
226,0.33,0,10,180,0,68,1.1345
227,0,0,10,0,1,60,1.001
228,0.33,0,-10,180,0,55,0.9176
229,0.63,0,10,0,1,60,1.001
230,0.33,180,10,180,1,82,1.3681
231,0.33,0,10,0,1,54,0.90091
232,0,180,10,180,1,61,1.0177
233,0.63,180,-10,180,1,62,1.0344
234,0.63,0,-10,0,1,70,1.1679
235,0,180,10,0,0,80,1.3347
236,0.63,0,-10,0,1,77,1.2846
237,0.63,180,10,180,1,73,1.2179
238,0.33,180,10,180,1,74,1.2346
239,0.63,180,10,0,0,67,1.1178
240,0.63,180,10,0,0,54,0.90091
241,0.33,180,-10,180,1,58,0.96765
242,0.63,0,-10,0,1,73,1.2179
243,0.63,0,10,0,1,68,1.1345
244,0,0,10,0,1,68,1.1345
245,0.63,0,-10,180,0,60,1.001
246,0.63,0,-10,0,1,73,1.2179
247,0.33,0,10,0,1,58,0.96765
248,0.33,180,-10,180,1,55,0.9176
249,0,0,-10,180,0,56,0.93428
250,0,0,-10,0,1,57,0.95096
251,0.33,180,-10,180,1,49,0.8175
252,0,180,-10,180,1,63,1.0511
253,0,180,10,0,0,44,0.73408
254,0.33,180,-10,180,1,41,0.68403
255,0.63,180,-10,180,1,59,0.98433
256,0.33,180,10,180,1,71,1.1845
257,0.63,180,-10,180,1,57,0.95096
258,0,180,-10,180,1,64,1.0677
259,0,180,-10,180,1,64,1.0677
260,0.63,180,10,0,0,66,1.1011
261,0.63,0,10,0,1,66,1.1011
262,0.33,0,10,0,1,75,1.2513
263,0.33,180,-10,180,1,47,0.78413
264,0.33,180,-10,180,1,77,1.2846
265,0.63,0,10,0,1,70,1.1679
266,0.63,180,-10,180,1,61,1.0177
267,0.63,0,-10,0,1,59,0.98433
268,0.63,0,10,0,1,63,1.0511
269,0,0,-10,180,0,68,1.1345
270,0,180,-10,180,1,69,1.1512
271,0.33,180,10,180,1,63,1.0511
272,0,180,10,0,0,68,1.1345
273,0,180,-10,180,1,90,1.5015
274,0,0,-10,180,0,67,1.1178
275,0.33,180,10,0,0,55,0.9176
276,0.33,0,10,0,1,69,1.1512
277,0.63,180,10,180,1,63,1.0511
278,0,180,-10,0,0,62,1.0344
279,0,180,10,0,0,53,0.88423
280,0,0,10,0,1,63,1.0511
281,0,180,10,0,0,60,1.001
282,0,180,10,180,1,77,1.2846
283,0,0,10,180,0,78,1.3013
284,0.63,0,-10,0,1,65,1.0844
285,0,0,-10,0,1,72,1.2012
286,0,180,10,180,1,76,1.268
287,0.63,0,10,0,1,83,1.3847
288,0.33,180,-10,180,1,77,1.2846
289,0.63,180,-10,180,1,73,1.2179
290,0,0,10,0,1,65,1.0844
291,0,180,10,180,1,62,1.0344
292,0,180,10,0,0,64,1.0677
293,0.33,0,10,0,1,66,1.1011
294,0.63,0,10,0,1,67,1.1178
295,0,0,10,0,1,70,1.1679
296,0,0,10,0,1,69,1.1512
297,0.63,0,10,0,1,70,1.1679
298,0.63,0,10,0,1,69,1.1512
299,0.63,180,10,180,1,66,1.1011
300,0,180,-10,180,1,70,1.1679
301,0.33,0,10,0,1,66,1.1011
302,0,0,10,0,1,66,1.1011
303,0.33,180,10,180,1,62,1.0344
304,0.63,0,10,0,1,70,1.1679
305,0,180,10,0,0,64,1.0677
306,0.33,0,10,0,1,66,1.1011
307,0,180,-10,180,1,64,1.0677
308,0.63,180,-10,180,1,71,1.1845
309,0.63,180,10,0,0,72,1.2012
310,0,0,-10,0,1,70,1.1679
311,0.33,0,-10,0,1,70,1.1679
312,0.63,180,10,0,0,77,1.2846
313,0.63,180,-10,0,0,76,1.268
314,0.63,0,10,0,1,59,0.98433
315,0.33,180,-10,0,0,60,1.001
316,0.33,180,-10,0,0,67,1.1178
317,0.63,0,10,0,1,67,1.1178
318,0.63,180,10,180,1,65,1.0844
319,0.33,180,10,180,1,72,1.2012
320,0,180,-10,0,0,69,1.1512
321,0.33,180,10,0,0,51,0.85086
322,0.63,180,-10,180,1,60,1.001
323,0,0,10,0,1,60,1.001
324,0.63,0,10,180,0,79,1.318
325,0.63,0,-10,0,1,72,1.2012
326,0.33,180,10,180,1,69,1.1512
327,0.33,180,10,180,1,74,1.2346
328,0,180,10,0,0,62,1.0344
329,0.33,0,-10,0,1,75,1.2513
330,0,0,10,180,0,71,1.1845
331,0.33,0,10,180,0,62,1.0344
332,0,0,10,0,1,69,1.1512
333,0.63,180,10,0,0,82,1.3681
334,0,0,-10,0,1,74,1.2346
335,0.33,0,-10,0,1,67,1.1178
336,0.33,0,-10,0,1,66,1.1011
337,0.63,180,-10,0,0,73,1.2179
338,0.63,180,-10,0,0,65,1.0844
339,0.63,180,-10,0,0,67,1.1178
340,0.63,0,10,180,0,70,1.1679
341,0.63,180,10,180,1,75,1.2513
342,0.63,180,-10,0,0,69,1.1512
343,0.33,0,-10,0,1,72,1.2012
344,0.33,0,-10,0,1,75,1.2513
345,0.33,180,-10,0,0,69,1.1512
346,0.63,180,-10,0,0,73,1.2179
347,0.63,180,10,0,0,85,1.4181
348,0,0,-10,0,1,81,1.3514
349,0.33,0,10,180,0,66,1.1011
350,0.33,0,-10,0,1,66,1.1011
351,0,180,10,180,1,71,1.1845
352,0,0,10,180,0,69,1.1512
353,0,0,10,180,0,78,1.3013
354,0.33,180,10,180,1,79,1.318
355,0.33,180,10,180,1,78,1.3013
356,0.63,0,10,180,0,81,1.3514
357,0.63,0,10,180,0,74,1.2346
358,0,180,10,0,0,77,1.2846
359,0.33,180,10,0,0,84,1.4014
360,0.33,0,10,0,1,67,1.1178
